Instance,Terminal,Layer,X location,Y location,Voltage
_128_,VGND,li1,16.7900,54.4000,0.000013
_127_,VGND,li1,8.5100,16.3200,0.000034
_126_,VGND,li1,8.5100,43.5200,0.000012
_125_,VGND,li1,16.3300,54.4000,0.000013
_124_,VGND,li1,19.5500,54.4000,0.000012
_123_,VGND,li1,13.5700,48.9600,0.000014
_122_,VGND,li1,10.3500,48.9600,0.000015
_121_,VGND,li1,8.5100,48.9600,0.000015
_120_,VGND,li1,20.4700,54.4000,0.000012
_119_,VGND,li1,23.6900,54.4000,0.000010
_118_,VGND,li1,26.4500,59.8400,0.000032
_117_,VGND,li1,30.1300,54.4000,0.000013
_116_,VGND,li1,39.7900,54.4000,0.000017
_115_,VGND,li1,36.5700,54.4000,0.000016
_114_,VGND,li1,44.3900,54.4000,0.000018
_113_,VGND,li1,49.4500,54.4000,0.000018
_112_,VGND,li1,46.2300,54.4000,0.000018
_111_,VGND,li1,28.7500,54.4000,0.000013
_110_,VGND,li1,26.9100,54.4000,0.000012
_109_,VGND,li1,11.2700,54.4000,0.000013
_108_,VGND,li1,34.2700,27.2000,0.000016
_107_,VGND,li1,42.0900,27.2000,0.000021
_106_,VGND,li1,43.4700,32.6400,0.000018
_105_,VGND,li1,48.0700,16.3200,0.000080
_104_,VGND,li1,44.3900,21.7600,0.000035
_103_,VGND,li1,43.9300,43.5200,0.000021
_102_,VGND,li1,39.7900,21.7600,0.000029
_101_,VGND,li1,50.8300,38.0800,0.000035
_100_,VGND,li1,50.8300,32.6400,0.000022
_099_,VGND,li1,48.5300,38.0800,0.000033
_098_,VGND,li1,39.3300,38.0800,0.000026
_097_,VGND,li1,51.2900,16.3200,0.000084
_096_,VGND,li1,50.8300,21.7600,0.000041
_095_,VGND,li1,49.4500,27.2000,0.000025
_094_,VGND,li1,50.3700,43.5200,0.000024
_093_,VGND,li1,49.4500,48.9600,0.000010
_092_,VGND,li1,52.6700,54.4000,0.000018
_091_,VGND,li1,46.2300,48.9600,0.000010
_090_,VGND,li1,47.1500,43.5200,0.000022
_089_,VGND,li1,48.9900,48.9600,0.000010
_088_,VGND,li1,47.6100,43.5200,0.000022
_087_,VGND,li1,40.2500,32.6400,0.000017
_086_,VGND,li1,36.1100,38.0800,0.000023
_085_,VGND,li1,33.3500,54.4000,0.000015
_084_,VGND,li1,10.3500,43.5200,0.000012
_083_,VGND,li1,33.3500,38.0800,0.000021
_082_,VGND,li1,24.6100,48.9600,0.000007
_081_,VGND,li1,13.3400,38.0800,0.000016
_080_,VGND,li1,8.5100,16.3200,0.000034
_079_,VGND,li1,13.5700,54.4000,0.000013
_078_,VGND,li1,14.9500,16.3200,0.000033
_077_,VGND,li1,27.8300,43.5200,0.000011
_076_,VGND,li1,26.4500,38.0800,0.000013
_075_,VGND,li1,21.3900,16.3200,0.000031
_074_,VGND,li1,21.8500,38.0800,0.000014
_073_,VGND,li1,15.4100,21.7600,0.000014
_072_,VGND,li1,33.3500,16.3200,0.000050
_071_,VGND,li1,37.9500,16.3200,0.000060
_070_,VGND,li1,29.6700,16.3200,0.000041
_069_,VGND,li1,46.6900,32.6400,0.000020
_068_,VGND,li1,49.4500,16.3200,0.000080
_067_,VGND,li1,46.2300,16.3200,0.000076
_066_,VGND,li1,33.3500,21.7600,0.000023
_065_,VGND,li1,26.4500,16.3200,0.000030
_064_,VGND,li1,23.2300,16.3200,0.000031
_063_,VGND,li1,25.9900,16.3200,0.000030
_062_,VGND,li1,20.4700,10.8800,0.000027
_061_,VGND,li1,18.1700,16.3200,0.000032
_060_,VGND,li1,9.8900,32.6400,0.000010
_059_,VGND,li1,21.3900,43.5200,0.000010
_058_,VGND,li1,14.9500,32.6400,0.000010
_057_,VGND,li1,42.5500,16.3200,0.000070
_056_,VGND,li1,20.0100,27.2000,0.000011
_055_,VGND,li1,36.8000,16.3200,0.000055
_054_,VGND,li1,9.8900,21.7600,0.000015
_053_,VGND,li1,9.8900,21.7600,0.000015
_052_,VGND,li1,12.8800,38.0800,0.000016
_051_,VGND,li1,21.8500,27.2000,0.000011
_050_,VGND,li1,10.3500,32.6400,0.000010
_049_,VGND,li1,13.3400,27.2000,0.000012
